subjet,eda,bvp,temp,emotion
1,0.23,1.48,33.41,0
1,0.23,-1.69,33.41,0
1,0.23,1.08,33.39,0
1,0.23,-0.77,33.39,0
1,0.23,0.3,33.39,0
1,0.23,9.36,33.39,0
1,0.23,-2.82,33.37,0
1,0.23,-5.03,33.37,0
1,0.23,-0.03,33.37,0
1,0.23,2.99,33.37,0
1,0.23,0.79,33.37,0
1,0.23,0.29,33.37,0
1,0.23,2.04,33.37,0
1,0.23,-0.78,33.37,0
1,0.23,-3.57,33.37,0
1,0.23,-2.74,33.37,0
1,0.23,-2.79,33.37,0
1,0.23,-17.83,33.37,0
1,0.22,-23.32,33.37,0
1,0.21,-19.63,33.37,0
1,0.21,-142.37,33.37,0
1,0.2,-132.62,33.37,0
1,0.2,-161.3,33.16,0
1,0.2,-120.93,33.16,0
1,0.2,281.86,33.16,0
1,0.2,227.86,33.16,0
1,0.21,102.9,33.5,0
1,0.21,52.25,33.5,0
1,0.21,-35.29,33.5,0
1,0.2,-27.86,33.5,0
1,0.2,12.78,33.61,0
1,0.21,-42.31,33.61,0
1,0.2,55.11,33.61,0
1,0.21,-0.07,33.61,0
1,0.21,-70.83,33.65,0
1,0.2,43.21,33.65,0
1,0.2,-7.28,33.65,0
1,0.2,9.09,33.65,0
1,0.21,30.87,33.65,0
1,0.2,-53.91,33.65,0
1,0.2,64.37,33.65,0
1,0.2,29.72,33.65,0
1,0.2,-17.19,33.66,0
1,0.21,-29.35,33.66,0
1,0.2,-133.05,33.66,0
1,0.21,-22.26,33.66,0
1,0.2,142.3,33.66,0
1,0.21,48.11,33.66,0
1,0.21,-5.27,33.66,0
1,0.21,-1.02,33.66,0
1,0.21,15.69,33.65,0
1,0.2,-60.89,33.65,0
1,0.21,45.39,33.65,0
1,0.21,19.76,33.65,0
1,0.21,-53.25,33.65,0
1,0.21,48.37,33.65,0
1,0.21,-4.69,33.65,0
1,0.21,30.84,33.65,0
1,0.21,10.88,33.63,0
1,0.21,-60.99,33.63,0
1,0.21,35.19,33.63,0
1,0.21,-9.56,33.63,0
1,0.21,24.48,33.61,0
1,0.21,15.88,33.61,0
1,0.0,-0.03,27.95,0
1,0.24,5.06,27.95,0
1,0.34,17.91,27.95,0
1,0.33,79.34,27.95,0
1,0.33,228.25,27.95,0
1,0.34,-486.5,27.95,0
1,0.34,-5.9,27.95,0
1,0.33,156.15,27.95,0
1,0.34,46.78,27.95,0
1,0.34,4.05,27.95,0
1,0.34,0.17,27.95,0
1,0.34,0.85,27.95,0
1,0.34,3.75,27.95,0
1,0.34,14.69,27.95,0
1,0.34,12.88,27.95,0
1,0.34,-14.66,27.95,0
1,0.33,16.53,27.93,0
1,0.33,71.0,27.93,0
1,0.33,106.97,27.93,0
1,0.33,-3.21,27.93,0
1,0.33,-269.74,27.93,0
1,0.33,-26.35,27.93,0
1,0.33,35.56,27.93,0
1,0.33,21.61,27.93,0
1,0.33,-15.96,27.91,0
1,0.33,-34.31,27.91,0
1,0.33,-13.06,27.91,0
1,0.33,22.06,27.91,0
1,0.33,-8.06,27.91,0
1,0.33,31.08,27.91,0
1,0.33,38.39,27.91,0
1,0.33,-53.65,27.91,0
1,0.33,2.75,27.89,0
1,0.34,8.89,27.89,0
1,0.33,5.04,27.89,0
1,0.33,0.92,27.89,0
1,0.33,4.5,27.87,0
1,0.34,12.6,27.87,0
1,0.33,-30.5,27.87,0
1,0.33,17.59,27.87,0
1,0.33,-33.39,27.87,0
1,0.33,10.42,27.87,0
1,0.34,-12.82,27.87,0
1,0.33,-0.21,27.87,0
1,0.33,37.85,27.87,0
1,0.34,-14.96,27.87,0
1,0.33,15.15,27.87,0
1,0.34,38.39,27.87,0
1,0.34,61.25,27.83,0
1,0.34,-3.87,27.83,0
1,0.34,-35.83,27.83,0
1,0.33,-47.58,27.83,0
1,0.34,-20.21,27.87,0
1,0.34,12.19,27.87,0
1,0.34,8.57,27.87,0
1,0.34,9.18,27.87,0
1,0.34,-9.16,27.83,0
1,0.34,-2.75,27.83,0
1,0.34,42.99,27.83,0
1,0.34,-22.49,27.83,0
1,0.34,12.23,27.83,0
1,0.34,7.0,27.83,0
1,0.33,-16.72,27.83,0
1,0.34,19.32,27.83,0
1,0.34,0.34,27.81,0
1,0.34,-7.56,27.81,0
1,0.34,2.92,27.81,0
1,0.34,-11.19,27.81,0
1,0.34,-32.69,27.77,0
1,0.34,20.27,27.77,0
1,0.34,15.58,27.77,0
1,0.34,-12.04,27.77,0
1,0.34,2.53,27.77,0
1,0.34,-5.1,27.77,0
1,0.34,-0.71,27.77,0
1,0.34,23.89,27.77,0
1,0.34,27.07,27.77,0
1,0.34,92.52,27.77,0
1,0.34,-30.77,27.77,0
1,0.34,-32.82,27.77,0
1,0.34,-9.04,27.77,0
1,0.34,10.26,27.77,0
1,0.34,0.72,27.77,0
1,0.33,4.72,27.77,0
1,0.34,24.05,27.75,0
1,0.34,-14.17,27.75,0
1,0.34,-4.43,27.75,0
1,0.34,12.55,27.75,0
1,0.34,-11.58,27.75,0
1,0.34,-1.4,27.75,0
1,0.34,-0.43,27.75,0
1,0.34,-11.9,27.75,0
1,0.34,-2.79,27.77,0
1,0.34,-11.67,27.77,0
1,0.34,-10.39,27.77,0
1,0.34,11.44,27.77,0
1,0.34,3.07,27.73,0
1,0.34,5.12,27.73,0
1,0.34,0.83,27.73,0
1,0.34,-19.96,27.73,0
1,0.34,-16.3,27.75,0
1,0.34,36.93,27.75,0
1,0.34,-20.13,27.75,0
1,0.34,-3.9,27.75,0
1,0.34,-27.73,27.73,0
1,0.34,9.14,27.73,0
1,0.34,34.02,27.73,0
1,0.34,16.07,27.73,0
1,0.34,19.99,27.71,0
1,0.34,1.99,27.71,0
1,0.34,-19.99,27.71,0
1,0.34,6.94,27.71,0
1,0.34,0.69,27.77,0
1,0.34,-5.97,27.77,0
1,0.34,17.28,27.77,0
1,0.34,4.21,27.77,0
1,0.34,-16.94,27.73,0
1,0.34,0.3,27.73,0
1,0.0,-0.03,31.03,1
1,0.09,5.06,31.03,1
1,0.14,17.91,31.03,1
1,0.14,79.34,31.03,1
1,0.15,228.25,31.03,1
1,0.19,-486.42,31.03,1
1,0.19,-6.01,31.03,1
1,0.19,154.76,31.03,1
1,0.18,32.66,31.13,1
1,0.17,-16.04,31.13,1
1,0.17,-29.38,31.13,1
1,0.16,-9.28,31.13,1
1,0.16,-5.46,31.11,1
1,0.16,2.31,31.11,1
1,0.15,8.32,31.11,1
1,0.15,18.72,31.11,1
1,0.14,15.08,31.05,1
1,0.15,-63.81,31.05,1
1,0.15,-60.33,31.05,1
1,0.14,-1.21,31.05,1
